nickname,phone_id,phone_model_id,ram,internal_memory,lower_bound,upper_bound,lower_error,upper_error,error,mean_error,std,cleaned_posts_count,beginning_posts_count,preprocess_posts_count
iPhone 13,12043.0,12524.0,4GB,128GB,35311715.0,44544055.0,0.8827523670260717,5.513519144137206,3.1981357555816388,6.153757531061557,4.183841322173409,11600,11836,11329
Redmi Note 8,9970.0,12077.0,4GB,64GB,3555058.0,4972900.0,1.5487229744212385,3.476844497174696,2.512783735797967,6.153757531061557,4.183841322173409,764,782,759
iPhone 15,13937.0,18355.0,6GB,128GB,43005158.0,52475156.0,2.3372963773322226,6.622478644941992,4.4798875111371075,6.153757531061557,4.183841322173409,1060,1139,1008
iPhone 11 PM,741.0,2190.0,4GB,256GB,26719278.0,34114929.0,1.0506346765807137,6.199423718572007,3.62502919757636,6.153757531061557,4.183841322173409,1493,1527,1471
Galaxy A54,13718.0,17878.0,8GB,256GB,14763183.0,19223153.0,5.169501726016662,6.362915594543722,5.766208660280192,6.153757531061557,4.183841322173409,860,909,851
Redmi Note 8,9970.0,12079.0,4GB,128GB,4188141.0,5351726.0,7.446239274179163,12.113363053340166,9.779801163759664,6.153757531061557,4.183841322173409,214,217,205
iPhone 12,730.0,2165.0,4GB,128GB,25059839.0,30229604.0,0.2387844550796956,0.7595336015648826,0.4991590283222891,6.153757531061557,4.183841322173409,1098,1121,1055
iPhone XS Max,752.0,2216.0,4GB,256GB,17580693.0,23170181.0,8.073100417600145,0.7344828251449513,4.403791621372548,6.153757531061557,4.183841322173409,775,800,761
Galaxy A12,7298.0,9305.0,4GB,64GB,3408584.0,5197067.0,11.986913040723067,13.41269989399791,12.699806467360489,6.153757531061557,4.183841322173409,1008,1034,1002
iPhone 8 Plus,759.0,2230.0,3GB,64GB,8451007.0,11337032.0,11.25317965066175,11.793492335560146,11.523335993110948,6.153757531061557,4.183841322173409,843,867,810
iPhone 11,743.0,2195.0,4GB,64GB,17239400.0,23874610.0,18.790677169739084,7.8518978948766005,13.321287532307842,6.153757531061557,4.183841322173409,744,779,727
iPhone XS,753.0,2219.0,4GB,256GB,15298425.0,19491540.0,1.3176192974113405,5.08702750013596,3.2023233987736504,6.153757531061557,4.183841322173409,1546,1573,1528
iPhone 7,776.0,2260.0,2GB,128GB,4548944.0,6528627.0,12.067504018515066,0.4384842325959113,6.252994125555489,6.153757531061557,4.183841322173409,1225,1258,1141
iPhone 11,743.0,2196.0,4GB,128GB,20011309.0,25092315.0,20.045210435759103,2.360543457229838,11.20287694649447,6.153757531061557,4.183841322173409,2890,2962,2849
Poco X3 Pro,9880.0,11837.0,6GB,128GB,4575317.0,6898799.0,20.210249912738277,1.4669364914095837,10.83859320207393,6.153757531061557,4.183841322173409,525,531,524
iPhone 7 Plus,775.0,2257.0,3GB,128GB,6369248.0,8850403.0,2.052864011575622,1.6902846118984627,1.8715743117370423,6.153757531061557,4.183841322173409,1393,1423,1378
iPhone 11 PM,741.0,2189.0,4GB,64GB,24062721.0,31251919.0,0.26065630732284717,10.405501818944302,5.3330790631335745,6.153757531061557,4.183841322173409,396,430,381
Poco X3 Pro,9880.0,11839.0,8GB,256GB,5392177.0,8043087.0,20.54500436465642,11.89733494117371,16.221169652915066,6.153757531061557,4.183841322173409,1319,1354,1314
iPhone 13,12043.0,12525.0,4GB,256GB,39707319.0,52738621.0,5.773950641190353,4.287899374539947,5.03092500786515,6.153757531061557,4.183841322173409,940,968,906
Galaxy A12,7298.0,9306.0,4GB,128GB,3891760.0,6007070.0,2.78126092050897,0.11769464980430655,1.4494777851566383,6.153757531061557,4.183841322173409,378,393,377
iPhone XS Max,752.0,2215.0,4GB,64GB,14765237.0,21292426.0,21.907965310682116,1.373380374786791,11.640672842734453,6.153757531061557,4.183841322173409,387,398,382
iPhone XS,753.0,2218.0,4GB,64GB,12693957.0,18079945.0,10.288698787935076,3.2076701560762473,6.748184472005661,6.153757531061557,4.183841322173409,558,572,552
iPhone 8 Plus,759.0,2232.0,3GB,256GB,9728436.0,13161237.0,12.627271228386562,16.421230010522564,14.524250619454563,6.153757531061557,4.183841322173409,263,265,254
iPhone 7 Plus,775.0,2258.0,3GB,256GB,7541397.0,9981017.0,7.179001450261808,0.19019103965057127,3.6845962449561895,6.153757531061557,4.183841322173409,259,267,247
iPhone XS,753.0,2220.0,4GB,512GB,16463553.0,21524565.0,3.258391429845048,2.4370527348636273,2.8477220823543377,6.153757531061557,4.183841322173409,68,71,66
iPhone 12,730.0,2164.0,4GB,64GB,20563363.0,29874703.0,2.7396442887284422,16.317159705319924,9.528401997024183,6.153757531061557,4.183841322173409,213,235,206
Poco X3 Pro,9880.0,11838.0,8GB,128GB,5348417.0,6986432.0,12.182726215999978,7.350933924498236,9.766830070249107,6.153757531061557,4.183841322173409,92,95,87
iPhone XS Max,752.0,2217.0,4GB,512GB,19116555.0,24024244.0,9.852428954903218,1.9803162172345594,5.9163725860688885,6.153757531061557,4.183841322173409,99,109,97
iPhone 7,776.0,2259.0,2GB,32GB,2592029.0,4430635.0,3.5504618196787163,1.5655769432598277,2.558019381469272,6.153757531061557,4.183841322173409,726,766,722
iPhone 11,743.0,2197.0,4GB,256GB,19881203.0,27040526.0,9.462219162492318,1.9989478015331485,5.730583482012733,6.153757531061557,4.183841322173409,159,169,153
iPhone 12,730.0,2166.0,4GB,256GB,25826098.0,34253283.0,4.545409840851676,2.1799866599648112,3.3626982504082434,6.153757531061557,4.183841322173409,63,69,59
Galaxy A15,14451.0,20328.0,4GB,128GB,7380025.0,10393985.0,18.699462400195117,13.411458646515271,16.055460523355194,6.153757531061557,4.183841322173409,747,774,742
Galaxy A55,14628.0,20637.0,8GB,256GB,19846552.0,24701769.0,4.265486518766579,5.255619546923953,4.760553032845266,6.153757531061557,4.183841322173409,1122,1193,1093
Galaxy A15,14451.0,20329.0,6GB,128GB,8102250.0,11497890.0,13.604245734209627,13.027520701624383,13.315883217917005,6.153757531061557,4.183841322173409,663,686,657
Galaxy A54,13718.0,17876.0,8GB,128GB,13573804.0,16649966.0,11.594421136477294,3.9037076712348835,7.749064403856089,6.153757531061557,4.183841322173409,382,390,365
Galaxy S24u,14444.0,20309.0,12GB,256GB,57312891.0,66635539.0,6.433297877086687,3.548348277035757,4.990823077061222,6.153757531061557,4.183841322173409,1184,1232,1148
Poco X6 Pro,14533.0,20511.0,12GB,512GB,16036357.0,21382829.0,12.244944409755902,1.790357113177123,7.017650761466513,6.153757531061557,4.183841322173409,862,885,857
Galaxy A55,14628.0,20636.0,8GB,128GB,17711874.0,21173082.0,4.019190741758891,13.351471457957786,8.685331099858338,6.153757531061557,4.183841322173409,326,342,312
Galaxy A05s,14457.0,20343.0,4GB,64GB,3398311.0,4984336.0,8.877615968638537,10.345690980704347,9.611653474671442,6.153757531061557,4.183841322173409,533,552,531
Galaxy A15,14451.0,20330.0,8GB,128GB,6499188.0,11068808.0,23.092300145802838,0.6216387527907159,11.856969449296777,6.153757531061557,4.183841322173409,35,37,33
Galaxy A15,14451.0,20331.0,8GB,256GB,9657243.0,13458200.0,6.805700136156872,7.119822858926156,6.962761497541514,6.153757531061557,4.183841322173409,262,273,259
Galaxy A05s,14457.0,20345.0,6GB,128GB,5926255.0,9244893.0,1.2443777731467947,8.057345823256142,4.650861798201468,6.153757531061557,4.183841322173409,334,347,332
Galaxy S24u,14444.0,20310.0,12GB,512GB,63618020.0,86207277.0,17.891125816238855,6.040414662442004,11.96577023934043,6.153757531061557,4.183841322173409,71,84,63
Galaxy A05s,14457.0,20344.0,4GB,128GB,5714969.0,8246506.0,12.51046156155877,2.9892174940514167,7.7498395278050936,6.153757531061557,4.183841322173409,323,334,321
Poco X6 Pro,14533.0,20509.0,8GB,256GB,14255872.0,18273143.0,5.219799953310485,3.9777338797162543,4.5987669165133696,6.153757531061557,4.183841322173409,73,76,72
Poco X6 Pro,14533.0,20510.0,12GB,256GB,14390901.0,23842573.0,11.181363835384587,16.11643592325376,13.648899879319174,6.153757531061557,4.183841322173409,9,9,8
